comp_name,smiles,charge,multiplicity
azo_a14465b50b,Cc1n[nH]c(C)c1N=Nc1ccc(CN)cc1,0,1
azo_3c877f70c0,COc1ccc(N=Nc2ccccc2O)s1,0,1
azo_e12516a940,Brc1ccc(/N=N/c2ccccc2I)c(I)c1,0,1
azo_716847471d,O=S(=O)(O)c1c(/N=N/c2ccccc2)ccc2sc(I)c(S(=O)(=O)O)c12,0,1
azo_e60ad44639,CC1=C(C)c2cc(/N=N/c3ccccc3)ccc2C1,0,1
azo_ace3d94411,N#Cc1cccc([N+](=O)[O-])c1N=Nc1cn[nH]c1,0,1
azo_9726f976fa,CC(C)(C)c1cc(I)cc(C(C)(C)C)c1/N=N/c1ccc2cc(-c3ccccc3)ccc2c1,0,1
azo_2fe386bde8,O=S(=O)(O)c1cc2scc(I)c2c(S(=O)(=O)O)c1/N=N/c1ccccc1,0,1
azo_b025982db8,C1=Cc2cc(/N=N/c3ccccc3)ccc2C1,0,1
azo_eac7891139,O=S(=O)(O)c1cccc(N=Nc2cnc[nH]2)c1,0,1
azo_edc17fbc78,CC(C)c1cc(I)cc(C(C)(C)C)c1/N=N/c1ccc2cc(-c3ccccc3)ccc2c1,0,1
azo_33538a6456,O=S(=O)(O)c1ccc(/N=N/c2cc3ccc(-c4ccccc4)cc3cc2C(F)(F)F)c(C(F)(F)F)c1,0,1
azo_76c3a54aab,Cc1cccc(CN)c1N=Nc1ccc[nH]1,0,1
azo_647de2127c,Cc1cc2sccc2cc1/N=N/c1ccccc1,0,1
azo_0c1fdc462a,COc1cc(Cl)c(/N=N/c2ccc(I)cc2)c(I)c1,0,1
azo_2291d91ab6,O=[N+]([O-])c1cc(Br)cc(/N=N/c2ccc3c(-c4ccccc4)ccc(-c4ccccc4)c3c2)c1,0,1
azo_44cf30a077,Cc1ccc(/N=N/c2ccc(Cl)cc2F)cc1,0,1
azo_96ca23801a,N#Cc1cc(N=Nc2cn[nH]c2)cc([N+](=O)[O-])c1,0,1
azo_5607d8975b,FC(F)(F)c1cc2c(I)c(/N=N/c3ccccc3)c(Br)cc2s1,0,1
azo_f4cc73a362,O=S(=O)(O)c1cc2[nH]c(I)c(S(=O)(=O)O)c2cc1/N=N/c1ccccc1,0,1
